"vdatum","befragte","institut","url","vdatum_char","feldzeit_beginn","feldzeit_ende","datum","datum_char","jahr","partei","stimmanteil","se","lwr","upr","abweichung"
2017-04-26,2002,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","26.04.2017","18.04.","21.04.",2017-04-21,"21.04.2017",2017,"cdu_csu",36,0.0107277637504242,33.9,38.1,1.3
2017-04-26,2002,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","26.04.2017","18.04.","21.04.",2017-04-21,"21.04.2017",2017,"fdp",6,0.0053077140250609,5,7,0
2017-04-26,2002,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","26.04.2017","18.04.","21.04.",2017-04-21,"21.04.2017",2017,"gruene",7,0.00570241023756468,5.9,8.1,-0.1
2017-04-26,2002,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","26.04.2017","18.04.","21.04.",2017-04-21,"21.04.2017",2017,"linke_pds",8,0.00606326947803219,6.8,9.2,-0.2
2017-04-26,2002,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","26.04.2017","18.04.","21.04.",2017-04-21,"21.04.2017",2017,"spd",30,0.0102418311299838,28,32,-0.9
2017-04-22,1412,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","22.04.2017","13.04.","19.04.",2017-04-19,"19.04.2017",2017,"afd",9,0.00761595909004177,7.5,10.5,-0.1
2017-04-22,1412,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","22.04.2017","13.04.","19.04.",2017-04-19,"19.04.2017",2017,"cdu_csu",36,0.0127739110898964,33.5,38.5,0.5
2017-04-22,1412,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","22.04.2017","13.04.","19.04.",2017-04-19,"19.04.2017",2017,"fdp",5,0.00580001953694082,3.9,6.1,-0.7
2017-04-22,1412,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","22.04.2017","13.04.","19.04.",2017-04-19,"19.04.2017",2017,"gruene",6,0.00632007458628488,4.8,7.2,-0.1
2017-04-22,1412,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","22.04.2017","13.04.","19.04.",2017-04-19,"19.04.2017",2017,"linke_pds",9,0.00761595909004177,7.5,10.5,0.4
2017-04-22,1412,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","22.04.2017","13.04.","19.04.",2017-04-19,"19.04.2017",2017,"spd",31,0.0123080157671595,28.6,33.4,0.9
2017-04-20,934,"Infratest Dimap","http://www.wahlrecht.de/umfragen/dimap.htm","20.04.2017","18.04.","19.04.",2017-04-19,"19.04.2017",2017,"afd",10,0.00981629986505533,8.1,11.9,1.7
2017-04-20,934,"Infratest Dimap","http://www.wahlrecht.de/umfragen/dimap.htm","20.04.2017","18.04.","19.04.",2017-04-19,"19.04.2017",2017,"cdu_csu",35,0.0156069220902336,31.9,38.1,-0.6
2017-04-20,934,"Infratest Dimap","http://www.wahlrecht.de/umfragen/dimap.htm","20.04.2017","18.04.","19.04.",2017-04-19,"19.04.2017",2017,"fdp",6,0.00777080684177407,4.5,7.5,0.2
2017-04-20,934,"Infratest Dimap","http://www.wahlrecht.de/umfragen/dimap.htm","20.04.2017","18.04.","19.04.",2017-04-19,"19.04.2017",2017,"gruene",7,0.0083486654102774,5.4,8.6,0.9
2017-04-20,934,"Infratest Dimap","http://www.wahlrecht.de/umfragen/dimap.htm","20.04.2017","18.04.","19.04.",2017-04-19,"19.04.2017",2017,"linke_pds",8,0.00887698465308177,6.3,9.7,-1.1
2017-04-20,934,"Infratest Dimap","http://www.wahlrecht.de/umfragen/dimap.htm","20.04.2017","18.04.","19.04.",2017-04-19,"19.04.2017",2017,"spd",30,0.0149946457253336,27.1,32.9,-0.6
2017-04-19,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","19.04.2017","14.04.","18.04.",2017-04-18,"18.04.2017",2017,"afd",10,NA,NA,NA,1.3
2017-04-19,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","19.04.2017","14.04.","18.04.",2017-04-18,"18.04.2017",2017,"cdu_csu",34,NA,NA,NA,-1.8
2017-04-19,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","19.04.2017","14.04.","18.04.",2017-04-18,"18.04.2017",2017,"fdp",6.5,NA,NA,NA,0.8
2017-04-19,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","19.04.2017","14.04.","18.04.",2017-04-18,"18.04.2017",2017,"gruene",6,NA,NA,NA,-0.8
2017-04-19,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","19.04.2017","14.04.","18.04.",2017-04-18,"18.04.2017",2017,"linke_pds",9,NA,NA,NA,0.5
2017-04-19,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","19.04.2017","14.04.","18.04.",2017-04-18,"18.04.2017",2017,"spd",30.5,NA,NA,NA,-0.1
2017-04-25,1407,"Allensbach","http://www.wahlrecht.de/umfragen/allensbach.htm","25.04.2017","01.04.","13.04.",2017-04-13,"13.04.2017",2017,"afd",7,0.00680210678513782,5.7,8.3,-2
2017-04-25,1407,"Allensbach","http://www.wahlrecht.de/umfragen/allensbach.htm","25.04.2017","01.04.","13.04.",2017-04-13,"13.04.2017",2017,"cdu_csu",36,0.0127965880313935,33.5,38.5,1.3
2017-04-25,1407,"Allensbach","http://www.wahlrecht.de/umfragen/allensbach.htm","25.04.2017","01.04.","13.04.",2017-04-13,"13.04.2017",2017,"fdp",6,0.00633129432631921,4.8,7.2,0.2
2017-04-25,1407,"Allensbach","http://www.wahlrecht.de/umfragen/allensbach.htm","25.04.2017","01.04.","13.04.",2017-04-13,"13.04.2017",2017,"gruene",7,0.00680210678513782,5.7,8.3,0.1
2017-04-25,1407,"Allensbach","http://www.wahlrecht.de/umfragen/allensbach.htm","25.04.2017","01.04.","13.04.",2017-04-13,"13.04.2017",2017,"linke_pds",9,0.00762947935470571,7.5,10.5,0.6
2017-04-25,1407,"Allensbach","http://www.wahlrecht.de/umfragen/allensbach.htm","25.04.2017","01.04.","13.04.",2017-04-13,"13.04.2017",2017,"spd",31,0.0123298656259484,28.6,33.4,-0.1
2017-04-19,2007,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","19.04.2017","10.04.","13.04.",2017-04-13,"13.04.2017",2017,"afd",8,0.00605571211565601,6.8,9.2,-1.1
2017-04-19,2007,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","19.04.2017","10.04.","13.04.",2017-04-13,"13.04.2017",2017,"cdu_csu",36,0.0107143924829188,33.9,38.1,1.7
2017-04-19,2007,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","19.04.2017","10.04.","13.04.",2017-04-13,"13.04.2017",2017,"fdp",6,0.00530109839987356,5,7,-0.2
2017-04-19,2007,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","19.04.2017","10.04.","13.04.",2017-04-13,"13.04.2017",2017,"gruene",6,0.00530109839987356,5,7,-0.3
2017-04-19,2007,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","19.04.2017","10.04.","13.04.",2017-04-13,"13.04.2017",2017,"linke_pds",9,0.00638804938051455,7.7,10.3,0.3
2017-04-19,2007,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","19.04.2017","10.04.","13.04.",2017-04-13,"13.04.2017",2017,"spd",30,0.0102290655371753,28,32,-2
2017-04-15,2436,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","15.04.2017","06.04.","12.04.",2017-04-12,"12.04.2017",2017,"afd",9,0.00579833507613801,7.9,10.1,-0.5
2017-04-15,2436,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","15.04.2017","06.04.","12.04.",2017-04-12,"12.04.2017",2017,"cdu_csu",35,0.00966389179356335,33.1,36.9,0
2017-04-15,2436,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","15.04.2017","06.04.","12.04.",2017-04-12,"12.04.2017",2017,"fdp",6,0.00481172623489802,5.1,6.9,-0.2
2017-04-15,2436,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","15.04.2017","06.04.","12.04.",2017-04-12,"12.04.2017",2017,"gruene",7,0.00516953943122929,6,8,0
2017-04-15,2436,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","15.04.2017","06.04.","12.04.",2017-04-12,"12.04.2017",2017,"linke_pds",9,0.00579833507613801,7.9,10.1,0.1
2017-04-15,2436,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","15.04.2017","06.04.","12.04.",2017-04-12,"12.04.2017",2017,"spd",31,0.00937058598879489,29.2,32.8,1.3
2017-04-13,1502,"Infratest Dimap","http://www.wahlrecht.de/umfragen/dimap.htm","13.04.2017","10.04.","12.04.",2017-04-12,"12.04.2017",2017,"afd",11,0.00807339831295186,9.4,12.6,2.2
2017-04-13,1502,"Infratest Dimap","http://www.wahlrecht.de/umfragen/dimap.htm","13.04.2017","10.04.","12.04.",2017-04-12,"12.04.2017",2017,"cdu_csu",34,0.0122229619542382,31.6,36.4,-0.4
2017-04-13,1502,"Infratest Dimap","http://www.wahlrecht.de/umfragen/dimap.htm","13.04.2017","10.04.","12.04.",2017-04-12,"12.04.2017",2017,"fdp",6,0.00612780004749697,4.8,7.2,0.2
2017-04-13,1502,"Infratest Dimap","http://www.wahlrecht.de/umfragen/dimap.htm","13.04.2017","10.04.","12.04.",2017-04-12,"12.04.2017",2017,"gruene",8,0.00700009511063405,6.6,9.4,1.1
2017-04-13,1502,"Infratest Dimap","http://www.wahlrecht.de/umfragen/dimap.htm","13.04.2017","10.04.","12.04.",2017-04-12,"12.04.2017",2017,"linke_pds",7,0.00658348011207992,5.7,8.3,-1.4
2017-04-13,1502,"Infratest Dimap","http://www.wahlrecht.de/umfragen/dimap.htm","13.04.2017","10.04.","12.04.",2017-04-12,"12.04.2017",2017,"spd",31,0.0119335711268762,28.7,33.3,-0.5
2017-04-10,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","10.04.2017","07.04.","10.04.",2017-04-10,"10.04.2017",2017,"afd",10,NA,NA,NA,1.6
2017-04-10,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","10.04.2017","07.04.","10.04.",2017-04-10,"10.04.2017",2017,"cdu_csu",33,NA,NA,NA,-2.7
2017-04-10,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","10.04.2017","07.04.","10.04.",2017-04-10,"10.04.2017",2017,"fdp",6.5,NA,NA,NA,0.9
2017-04-10,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","10.04.2017","07.04.","10.04.",2017-04-10,"10.04.2017",2017,"gruene",6.5,NA,NA,NA,-0.5
2017-04-10,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","10.04.2017","07.04.","10.04.",2017-04-10,"10.04.2017",2017,"linke_pds",8.5,NA,NA,NA,0.5
2017-04-10,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","10.04.2017","07.04.","10.04.",2017-04-10,"10.04.2017",2017,"spd",31.5,NA,NA,NA,0.6
2017-04-11,2502,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","11.04.2017","03.04.","07.04.",2017-04-07,"07.04.2017",2017,"afd",8,0.00542369494224544,6.9,9.1,-1.5
2017-04-11,2502,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","11.04.2017","03.04.","07.04.",2017-04-07,"07.04.2017",2017,"cdu_csu",36,0.00959616230246507,34.1,37.9,1.9
2017-04-11,2502,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","11.04.2017","03.04.","07.04.",2017-04-07,"07.04.2017",2017,"fdp",6,0.00474783807925865,5.1,6.9,0
